m,U,num_incident,num_detected
1e-06,1.4174741629268048e-05,606645.8321643649,607351.0440836772
1e-06,1.5199110829529332e-05,650711.8255339457,651189.4753199032
1e-06,1.6297508346206434e-05,697204.9101519439,697305.8750453097
1e-06,1.747528400007683e-05,749005.7278485368,748585.0417220996
1e-06,1.873817422860383e-05,802652.2057193351,802128.8290503231
1e-06,2.0092330025650458e-05,859665.7408526686,859889.1620858762
1e-06,2.1544346900318867e-05,921416.4593795676,923120.573813892
1e-06,2.310129700083158e-05,988584.3715657351,989087.7150214202
1e-06,2.477076355991714e-05,1058907.570636301,1060039.9561476663
1e-06,2.656087782946684e-05,1136489.9189577156,1137439.7282087347
1e-06,2.8480358684358048e-05,1219134.7417165027,1218447.6628997426
1e-06,3.053855508833412e-05,1308746.423146356,1307378.2401914669
1e-06,3.274549162877732e-05,1402641.256875353,1401636.9093530225
1e-06,3.511191734215127e-05,1501308.6171397308,1503134.802530852
1e-06,3.7649358067924715e-05,1612919.1095328545,1609464.524015504
1e-06,4.037017258596558e-05,1728205.2938190314,1728578.5413104955
1e-06,4.328761281083062e-05,1851785.5893189549,1851790.531061232
1e-06,4.641588833612782e-05,1985390.9320661882,1984995.467442635
1e-06,4.977023564332114e-05,2130181.5035039396,2130451.002452873
1e-06,5.3366992312063123e-05,2285237.059932992,2281137.3408031138
1e-06,5.72236765935022e-05,2447428.1347891698,2447508.9325114633
1e-06,6.135907273413175e-05,2624642.699355665,2627495.2929989737
1e-06,6.579332246575683e-05,2817312.4941946478,2820034.2873345623
1e-06,7.054802310718646e-05,3022560.981725283,3016570.231552018
1e-06,7.56463327554629e-05,3240002.3035560558,3234766.20401076
1e-06,8.111308307896872e-05,3473175.802507441,3471861.6050598575
1e-06,8.697490026177834e-05,3723497.628701656,3720967.058551236
1e-06,9.326033468832199e-05,3991463.3382789805,3995389.744835145
1e-06,0.0001,4281367.621657364,4277953.675558329
1e-06,0.00010722672220103231,4589476.017123415,4587653.77898416
1e-06,0.00011497569953977356,4920793.38233076,4923975.685033629
1e-06,0.0001232846739442066,5276346.074662418,5280563.678661241
1e-06,0.00013219411484660288,5655383.971897002,5659071.61266512
1e-06,0.00014174741629268049,6074492.736151052,6072967.528725371
1e-06,0.0001519911082952933,6500469.42867538,6506158.053318084
1e-06,0.0001629750834620645,6965335.951950058,6983920.746618511
1e-06,0.00017475284000076848,7478379.953833506,7478576.0307774255
1e-06,0.0001873817422860385,8022597.288187421,8019528.394176785
1e-06,0.00020092330025650479,8590772.059925787,8599678.648808857
1e-06,0.00021544346900318845,9221479.034622202,9215564.248947626
1e-06,0.00023101297000831605,9884208.374505771,9893077.354669683
1e-06,0.0002477076355991711,10596786.94188266,10602156.470127486
1e-06,0.00026560877829466864,11347742.8879764,11353102.64644018
1e-06,0.0002848035868435802,12190927.134187298,12196689.17354304
1e-06,0.0003053855508833416,13078953.843322774,13079181.002940485
1e-06,0.00032745491628777284,14012196.247904135,14035753.613559103
1e-06,0.0003511191734215131,15017537.294945871,15026303.166348845
1e-06,0.00037649358067924675,16122498.099813279,16106683.327475104
1e-06,0.0004037017258596554,17262862.251643557,17278376.78582016
1e-06,0.0004328761281083057,18522310.515900172,18515940.91272631
1e-06,0.0004641588833612782,19871725.301576685,19888865.079104774
1e-06,0.0004977023564332114,21283957.639394213,21286744.854232434
1e-06,0.0005336699231206312,22853277.58412423,22844995.86615203
1e-06,0.0005722367659350221,24497199.76787531,24515609.427742314
1e-06,0.0006135907273413176,26264734.678076208,26291289.236285288
1e-06,0.0006579332246575682,28145778.18865778,28159663.77057027
1e-06,0.0007054802310718645,30241949.563126445,30204061.279917996
1e-06,0.000756463327554629,32387658.615847733,32374588.340457927
1e-06,0.0008111308307896872,34707069.07611826,34720950.395503685
1e-06,0.0008697490026177834,37183647.809308216,37260938.58275686
1e-06,0.0009326033468832199,39906270.68999565,39923354.17965125
1e-06,0.001,42754751.65070749,42818950.73049808
1.1233240329780266e-06,1e-06,42769.90068960908,42784.2401499696
1.1233240329780266e-06,1.0722672220103232e-06,45837.141332548825,45868.68444816289
1.1233240329780266e-06,1.1497569953977357e-06,49287.26749491479,49212.51510109765
1.1233240329780266e-06,1.232846739442066e-06,52796.61118530183,52775.472916582126
1.1233240329780266e-06,1.3219411484660288e-06,56581.74273906747,56565.99142363878
1.1233240329780266e-06,1.4174741629268049e-06,60747.84300962045,60566.26161724456
1.1233240329780266e-06,1.519911082952933e-06,65065.81992187557,65079.87245032487
1.1233240329780266e-06,1.6297508346206435e-06,69718.53871723023,69718.72716077737
1.1233240329780266e-06,1.747528400007683e-06,74766.27660769511,74761.26958112986
1.1233240329780266e-06,1.873817422860383e-06,80211.1220865599,80243.4535940046
1.1233240329780266e-06,2.0092330025650458e-06,86022.53773151945,85887.19107812658
1.1233240329780266e-06,2.1544346900318822e-06,92139.21339994672,92139.86468362076
1.1233240329780266e-06,2.310129700083158e-06,98790.52037437871,98933.56676698705
1.1233240329780266e-06,2.477076355991709e-06,106094.96845697144,106132.90670576165
1.1233240329780266e-06,2.656087782946684e-06,113781.81270099297,113585.49303315565
1.1233240329780266e-06,2.848035868435805e-06,121939.94073185975,121800.69596801407
1.1233240329780266e-06,3.0538555088334123e-06,130796.29468599522,130635.0191653978
1.1233240329780266e-06,3.2745491628777315e-06,140051.88510444245,140078.19515194013
1.1233240329780266e-06,3.5111917342151275e-06,150286.91714284074,150211.09548891368
1.1233240329780266e-06,3.764935806792471e-06,161193.31499233624,160951.19239611473
1.1233240329780266e-06,4.037017258596558e-06,172727.4071592152,172750.61401188903
1.1233240329780266e-06,4.328761281083061e-06,185358.4329129863,185271.9962155258
1.1233240329780266e-06,4.641588833612782e-06,198674.89714008794,198901.71240757147
1.1233240329780266e-06,4.977023564332114e-06,212912.08930468606,213155.62776683987
1.1233240329780266e-06,5.336699231206313e-06,228538.3755940541,228513.0835827678
1.1233240329780266e-06,5.72236765935022e-06,244672.89173781648,245022.93114875548
1.1233240329780266e-06,6.1359072734131755e-06,262391.1084030028,262524.8651770933
1.1233240329780266e-06,6.579332246575683e-06,281563.2340367218,281546.93717958813
1.1233240329780266e-06,7.0548023107186455e-06,301908.96409157204,301882.6397202896
1.1233240329780266e-06,7.564633275546291e-06,323972.5991537023,323880.718159849
1.1233240329780266e-06,8.111308307896873e-06,347537.70696369436,346808.78513893014
1.1233240329780266e-06,8.697490026177835e-06,371729.0746963225,372303.459980348
1.1233240329780266e-06,9.3260334688322e-06,398764.54118490993,399290.3494532951
1.1233240329780266e-06,1e-05,427701.93047093676,427921.68518931617
1.1233240329780266e-06,1.072267222010323e-05,459183.1492022564,459141.80789214093
1.1233240329780266e-06,1.1497569953977357e-05,492454.1021042786,492139.7837961598
1.1233240329780266e-06,1.2328467394420658e-05,527558.7196919629,528305.827253588
1.1233240329780266e-06,1.3219411484660286e-05,564520.9910189009,566088.1044363249
1.1233240329780266e-06,1.4174741629268048e-05,606897.016983435,606644.0588749755
1.1233240329780266e-06,1.5199110829529332e-05,650167.6014790578,650831.9555169387
1.1233240329780266e-06,1.6297508346206434e-05,697179.2150238792,696873.1311028411
1.1233240329780266e-06,1.747528400007683e-05,748596.2742950978,748875.1241454919
1.1233240329780266e-06,1.873817422860383e-05,801426.5269083756,801269.8655094872
1.1233240329780266e-06,2.0092330025650458e-05,859844.2785654101,859875.7718621483
1.1233240329780266e-06,2.1544346900318867e-05,922527.6780160558,922948.2018236314
1.1233240329780266e-06,2.310129700083158e-05,988824.412048099,989598.8886644087
1.1233240329780266e-06,2.477076355991714e-05,1060003.0605176494,1060398.1949307579
1.1233240329780266e-06,2.656087782946684e-05,1138974.5453666784,1137366.8302795556
1.1233240329780266e-06,2.8480358684358048e-05,1219823.232735781,1218947.2238749573
1.1233240329780266e-06,3.053855508833412e-05,1306412.2267448334,1307250.169329442
1.1233240329780266e-06,3.274549162877732e-05,1399526.6974346756,1402521.524802353
1.1233240329780266e-06,3.511191734215127e-05,1502069.1137590136,1502961.8770871367
1.1233240329780266e-06,3.7649358067924715e-05,1610131.8223874092,1611956.2839936283
1.1233240329780266e-06,4.037017258596558e-05,1726883.3022521038,1728293.8112062763
1.1233240329780266e-06,4.328761281083062e-05,1850252.6939578122,1852048.666151044
1.1233240329780266e-06,4.641588833612782e-05,1988733.07873749,1985759.2403947874
1.1233240329780266e-06,4.977023564332114e-05,2130853.853988327,2132954.841242705
1.1233240329780266e-06,5.3366992312063123e-05,2282971.377840829,2283495.0744151464
1.1233240329780266e-06,5.72236765935022e-05,2449006.772967737,2445467.8563069524
1.1233240329780266e-06,6.135907273413175e-05,2626718.379693483,2627285.682692417
1.1233240329780266e-06,6.579332246575683e-05,2814549.4404583396,2814557.063413344
1.1233240329780266e-06,7.054802310718646e-05,3017617.5228052326,3017016.402906772
1.1233240329780266e-06,7.56463327554629e-05,3237686.525548613,3238096.2234650142
1.1233240329780266e-06,8.111308307896872e-05,3472850.471627557,3467615.793408107
1.1233240329780266e-06,8.697490026177834e-05,3718556.209122882,3719010.2288349564
1.1233240329780266e-06,9.326033468832199e-05,3990356.0073843137,3989999.546927404
1.1233240329780266e-06,0.0001,4282806.940834737,4284160.91959647
1.1233240329780266e-06,0.00010722672220103231,4594315.664077755,4586687.124430795
1.1233240329780266e-06,0.00011497569953977356,4922016.154159151,4915725.42322434
1.1233240329780266e-06,0.0001232846739442066,5278803.527697314,5276288.923294358
1.1233240329780266e-06,0.00013219411484660288,5653679.769154581,5655727.784321342
1.1233240329780266e-06,0.00014174741629268049,6070049.339233154,6065965.965457062
1.1233240329780266e-06,0.0001519911082952933,6507123.888297623,6504157.32440047
1.1233240329780266e-06,0.0001629750834620645,6973806.134016073,6971400.4576698635
